,Date,resource_pool,"VCPU, quota","VCPU, Allocated","VCPU, Used","RAM, quota","RAM, Allocated","RAM, Used","Storage, quota","Storage, Allocated","Storage, Used"
263,2019.08.26,14,1600,297.0,18.562500000000004,16377,1185,7.235757464737135,76796,8148,10.609927600395851
264,2019.08.26,15,4700,490.0,10.425531914893618,48107,1834,3.812335003221989,107514,21090,19.616050002790328
265,2019.08.26,16,2570,2178.0,84.74708171206225,17897,14824,82.82952450131306,367653,181713,49.4251372897814
266,2019.08.26,18,12400,5266.0,42.467741935483865,126923,25862,20.376133561293067,399340,159359,39.90559423048029
267,2019.08.19,0,2800,1416.0,50.57142857142858,28659,5285,18.44097840120033,204790,55854,27.273792665657506
268,2019.08.19,2,7737,7235.0,93.51169704019648,37586,26724,71.10094184004683,343350,297205,86.56036114751711
269,2019.08.19,3,28720,21243.0,73.9658774373259,290507,85090,29.290172009624552,1464276,1098452,75.0167318183184
270,2019.08.19,4,22574,21770.0,96.43838043767164,164720,91324,55.441962117532775,1589623,1353437,85.1420116593683
271,2019.08.19,5,4600,3073.0,66.80434782608695,47085,13431,28.525007964319855,168951,125106,74.0486886730472
272,2019.08.19,6,11890,10729.0,90.2354920100925,89496,47282,52.83141145973004,840692,775096,92.19738025341029
273,2019.08.19,8,3200,793.0,24.78125,32754,3729,11.384869023630705,143352,27109,18.910793013002962
274,2019.08.19,9,22400,1987.0,8.870535714285712,229280,11169,4.871336357292389,982989,90444,9.200916795610128
275,2019.08.19,12,3200,36.0,1.1249999999999982,32754,128,0.3907919643402313,92155,736,0.7986544408876362
276,2019.08.19,13,33000,16826.0,50.98787878787879,337782,69284,20.51145413313913,1310650,694007,52.95136001220768
277,2019.08.19,14,1600,297.0,18.562500000000004,16377,1185,7.235757464737135,76796,8148,10.609927600395851
278,2019.08.19,15,4700,490.0,10.425531914893618,48107,1834,3.812335003221989,107514,21090,19.616050002790328
279,2019.08.19,16,2570,2170.0,84.43579766536965,17897,14608,81.62261831591887,367653,193253,52.56396656630029
280,2019.08.19,18,9200,4922.0,53.49999999999999,94167,24434,25.947518769845058,296945,142494,47.98666419707354
281,2019.08.12,0,2800,1412.0,50.42857142857142,28659,4915,17.14993544785234,204790,57838,28.242589970213395
282,2019.08.12,2,7737,7136.0,92.23213131704794,37586,26095,69.42744638961315,343350,307147,89.4559487403524
283,2019.08.12,3,19120,18716.0,97.88702928870293,192239,73475,38.22065241704337,1126371,965714,85.73675991303044
284,2019.08.12,4,22574,19643.0,87.01603614778062,164720,84297,51.175934919864005,1589623,1231615,77.4784335656945
285,2019.08.12,5,1400,1315.0,93.92857142857143,14329,6315,44.071463465698926,66556,62414,93.77666927098984
286,2019.08.12,6,11890,10273.0,86.40033641715729,89496,45362,50.686064181639395,780692,745413,95.4810603925748
287,2019.08.12,8,3200,793.0,24.78125,32754,3729,11.384869023630705,143352,27109,18.910793013002962
288,2019.08.12,9,12800,390.0,3.0468750000000044,131016,2022,1.5433229529217771,573410,14380,2.507804188974727
289,2019.08.12,12,3200,36.0,1.1249999999999982,32754,128,0.3907919643402313,92155,736,0.7986544408876362
290,2019.08.12,13,28800,14206.0,49.32638888888889,294792,56624,19.20811962332764,1146819,584280,50.947882795803004
291,2019.08.12,14,1600,293.0,18.3125,16377,1161,7.0892104781095435,76796,7974,10.383353299651024
292,2019.08.12,15,3200,466.0,14.5625,32754,1746,5.330646638578496,71676,20626,28.776717450750603
293,2019.08.12,16,2570,2158.0,83.96887159533074,17897,14660,81.91316980499525,367653,175439,47.71863686682824
294,2019.08.12,18,9200,4869.0,52.92391304347825,94167,24201,25.70008601739463,296945,140945,47.46501877452053
295,2019.08.05,0,2800,1145.0,40.89285714285714,28659,3908,13.636205031578207,204790,47257,23.075833780946326
296,2019.08.05,2,7217,6402.0,88.70721906609394,37586,23236,61.82089075719684,343350,260177,75.77603028979176
297,2019.08.05,3,19120,18694.0,97.77196652719664,192239,72853,37.89709684299232,1126343,943167,83.73710317372239
298,2019.08.05,4,19066,18233.0,95.63096611769643,135753,77918,57.39688993981717,1312447,1094452,83.39018642276602
